Lead_ID,Company_Name,Industry,Company_Size,Size_Order,Location,Lead_Source,Service_Interest,Annual_Revenue_Cr,Revenue_Imputed,Lead_Created_Date,Lead_Month,Lead_Stage,Stage_Order,Follow_Up_Status,Next_Follow_Up_Date,Follow_Up_Flag,Days_Overdue,Sales_Rep_ID,Deal_Value,Conversion,Deal_Outcome,Website_Visits,Email_Interactions,Calls_Made,Calls_Connected,Meetings,Total_Activities,Last_Contact_Date,Days_Since_Last_Contact,Score_Size,Score_Revenue,Score_Website,Score_Email,Score_Meetings,Score_Service_Fit,Score_Prior_Engagement,Lead_Score,Lead_Category
L0001,Sagar Retail Tech,E-commerce,51-200,2,Unknown,Email Campaign,Cloud Services,42.0,False,2026-01-01,2026-01,New,1,Follow-up Required,2026-10-06,Upcoming,0.0,SR10,,No,Open,1,0,0,0,0,1,,,5,5,3,0,0,10,0,23,Cold
L0002,Sapphire Enterprises,Logistics,1-50,1,Pune,Website,DevOps,15.0,False,2026-01-01,2026-01,Contacted,2,Not Interested,,No Follow-up Needed,0.0,SR02,,No,Lost,2,0,2,1,0,4,2026-02-13,218,0,5,6,0,0,4,5,20,Cold
L0003,Loop Learning,Education,51-200,2,Hyderabad,Google Search,Digital Transformation,38.3,False,2026-01-01,2026-01,New,1,Follow-up Required,2026-09-29,Upcoming,0.0,SR04,,No,Open,0,0,0,0,0,0,,,5,5,0,0,0,10,0,20,Cold
L0004,Glide Payments,FinTech,51-200,2,Mumbai,Cold Calling,Software Development,51.3,False,2026-01-01,2026-01,Qualified,3,Follow-up Required,2026-09-19,Due Today,0.0,SR09,,No,Open,1,0,1,0,0,3,2026-03-04,199,5,10,3,0,0,4,0,22,Cold
L0005,Loop Systems,SaaS,201-500,3,Gurgaon,Referral,Cloud Services,169.0,False,2026-01-01,2026-01,Qualified,3,Waiting for Response,2026-09-12,Overdue,7.0,SR01,,No,Open,2,0,2,0,0,5,2026-01-30,232,10,10,6,0,0,10,0,36,Cold
L0006,Tundra Labs,Healthcare,201-500,3,Hyderabad,Website,Digital Transformation,112.8,False,2026-01-01,2026-01,Contacted,2,Follow-up Required,2026-10-03,Upcoming,0.0,SR08,,No,Open,1,0,1,1,0,2,2026-01-28,234,10,10,3,0,0,10,5,38,Cold
L0007,Narmada Solutions,E-commerce,1000+,5,Bengaluru,Email Campaign,Cybersecurity,2419.4,False,2026-01-01,2026-01,New,1,Follow-up Required,2026-09-23,Upcoming,0.0,SR04,,No,Open,0,0,0,0,0,0,,,20,20,0,0,0,4,0,44,Cold
L0008,Delta Enterprises,Manufacturing,201-500,3,Noida,Google Search,Digital Transformation,193.4,False,2026-01-01,2026-01,Proposal,5,Waiting for Response,2026-10-02,Upcoming,0.0,SR03,1425000,No,Open,4,3,4,1,2,15,2026-03-20,183,10,10,10,10,20,10,5,75,Warm
L0009,Trident Pvt Ltd,FinTech,501-1000,4,Noida,Cold Calling,Digital Transformation,586.6,False,2026-01-01,2026-01,Contacted,2,Waiting for Response,2026-08-30,Overdue,20.0,SR05,,No,Open,1,0,2,1,0,3,2026-03-03,200,15,20,3,0,0,4,5,47,Cold
L0010,Echo Group,Logistics,501-1000,4,Hyderabad,Referral,Software Development,387.2,False,2026-01-01,2026-01,Meeting,4,Waiting for Response,2026-09-24,Upcoming,0.0,SR04,,No,Open,1,1,3,0,2,7,2026-02-25,206,15,15,3,5,20,4,0,62,Warm
L0011,Orbit Solutions,Retail,201-500,3,Bengaluru,Referral,Software Development,101.8,False,2026-01-01,2026-01,Qualified,3,Meeting Scheduled,2026-09-21,Upcoming,0.0,SR04,,No,Open,0,1,2,1,0,3,2026-03-15,188,10,10,0,5,0,4,5,34,Cold
L0012,Flux Cargo,Logistics,501-1000,4,Ahmedabad,Email Campaign,DevOps,403.2,False,2026-01-02,2026-01,Contacted,2,Waiting for Response,2026-09-06,Overdue,13.0,SR09,,No,Open,1,0,2,1,0,3,2026-03-04,199,15,15,3,0,0,4,5,42,Cold
L0013,Drift Learning,Education,51-200,2,Gurgaon,Referral,Software Development,55.2,False,2026-01-02,2026-01,Qualified,3,Follow-up Required,2026-09-22,Upcoming,0.0,SR01,,No,Open,1,1,1,1,0,3,2026-03-17,186,5,10,3,5,0,10,5,38,Cold
L0014,Pinnacle Pvt Ltd,E-commerce,1-50,1,Mumbai,Website,Cybersecurity,6.6,False,2026-01-02,2026-01,Qualified,3,Contacted,2026-09-05,Overdue,14.0,SR09,,No,Open,1,2,1,0,0,4,2026-03-11,192,0,0,3,10,0,4,0,17,Cold
L0015,Drift Group,Healthcare,501-1000,4,Mumbai,Referral,Cybersecurity,199.8,False,2026-01-02,2026-01,Won,6,Closed,,No Follow-up Needed,0.0,SR09,1500000,Yes,Won,5,3,5,2,1,16,2026-03-26,177,15,10,10,10,12,10,10,77,Warm
L0016,Prana Wealth Tech,FinTech,201-500,3,Chennai,LinkedIn,Software Development,137.0,False,2026-01-02,2026-01,Meeting,4,Follow-up Required,2026-10-06,Upcoming,0.0,SR07,,No,Open,1,1,2,1,1,6,2026-03-12,191,10,10,3,5,12,4,5,49,Cold
L0017,Indus Solutions,SaaS,51-200,2,Delhi,Website,DevOps,31.0,False,2026-01-03,2026-01,Contacted,2,Follow-up Required,2026-10-04,Upcoming,0.0,SR10,,No,Open,0,0,2,1,0,2,2026-02-16,215,5,5,0,0,0,10,5,25,Cold
L0018,Solace Solutions,SaaS,501-1000,4,Noida,LinkedIn,Software Development,521.3,False,2026-01-03,2026-01,Contacted,2,Contacted,2026-09-20,Upcoming,0.0,SR03,,No,Open,2,1,1,0,0,4,2026-03-21,182,15,20,6,5,0,4,0,50,Cold
L0019,Wavelet Solutions,FinTech,51-200,2,Bengaluru,Referral,Cybersecurity,10.6,False,2026-01-03,2026-01,Meeting,4,Waiting for Response,2026-10-07,Upcoming,0.0,SR04,,No,Open,1,2,2,1,2,7,2026-03-22,181,5,5,3,10,20,10,5,58,Cold
