Lead_ID,Company_Name,Industry,Company_Size,Location,Lead_Source,Service_Interest,Annual_Revenue_Cr,Lead_Created_Date,Lead_Stage,Follow_Up_Status,Next_Follow_Up_Date,Sales_Rep_ID,Deal_Value,Conversion
L0001,Sagar Retail Tech,E-commerce,51-200,,Email Campaign,Cloud Services,42.0,2026-01-01,New,Follow-up Required,2026-10-06,SR10,,No
L0002,Sapphire Enterprises,Logistics,1-50,Pune,Website,DevOps,15.0,2026-01-01,Contacted,Not Interested,,SR02,,No
L0003,Loop Learning,Education,51-200,Hyderabad,Google Search,Digital Transformation,38.3,2026-01-01,New,Follow-up Required,2026-09-29,SR04,,No
L0004,Glide Payments,FinTech,51-200,Mumbai,Cold Calling,Software Development,51.3,2026-01-01,Qualified,Follow-up Required,2026-09-19,SR09,,No
L0005,Loop Systems,SaaS,201-500,Gurugram,Referral,Cloud Services,169.0,2026-01-01,Qualified,Waiting for Response,2026-09-12,SR01,,No
L0006,Tundra Labs ,Healthcare,201-500,Hyderabad,Website,Digital Transformation,112.8,2026-01-01,Contacted,Follow-up Required,2026-10-03,SR08,,No
L0007,Narmada Solutions,E-commerce,1000+,Bengaluru,Email Campaign,Cybersecurity,2419.4,2026-01-01,New,Follow-up Required,2026-09-23,SR04,,No
L0008,Delta Enterprises,manufacturing,201-500,Noida,GOOGLE SEARCH,Digital Transformation,193.4,2026-01-01,Proposal,Waiting for Response,2026-10-02,SR03,1425000.0,No
L0009,Trident Pvt Ltd,FinTech,501-1000,Noida,Cold Calling,Digital Transformation,586.6,2026-01-01,Contacted,Waiting for Response,2026-08-30,SR05,,No
L0010,Echo Group,Logistics,501-1000,Hyderabad ,Referral,Software Development,387.2,2026-01-01,Meeting,Waiting for Response,2026-09-24,SR04,,No
L0011,Orbit Solutions,Retail,201-500,Bengaluru,Referral,Software Development,101.8,2026-01-01,Qualified,Meeting Scheduled,2026-09-21,SR04,,No
L0012,Flux Cargo,Logistics,501-1000,Ahmedabad,Email Campaign,DevOps,403.2,2026-01-02,Contacted,Waiting for Response,2026-09-06,SR09,,No
L0013,Drift Learning,Education,51-200,Gurgaon,Referral,Software Development,55.2,2026-01-02,Qualified,Follow-up Required,2026-09-22,SR01,,No
L0014,Pinnacle Pvt Ltd,E-commerce,1-50,Mumbai,Website,Cybersecurity,6.6,2026-01-02,Qualified,Contacted,2026-09-05,SR09,,No
L0015,Drift Group,Healthcare,501-1000,Mumbai,Referral,Cybersecurity,199.8,02/01/2026,Won,Closed,,SR09,1500000.0,Yes
L0016,Prana Wealth Tech,FinTech,201-500,Chennai,LINKEDIN,Software Development,137.0,2026-01-02,Meeting,Follow-up Required,2026-10-06,SR07,,No
L0017,Indus Solutions,SaaS,51-200,Delhi,Website,DevOps,31.0,2026-01-03,Contacted,Follow-up Required,2026-10-04,SR10,,No
L0018,Solace Solutions,SaaS,501-1000,Noida,LinkedIn,Software Development,521.3,2026-01-03,Contacted,Contacted,2026-09-20,SR03,,No
L0019,Wavelet Solutions,FinTech,51-200,Bengaluru,Referral,Cybersecurity,10.6,2026-01-03,Meeting,Waiting for Response,2026-10-07,SR04,,No
L0020,Nimbus Capital Tech,FinTech ,51-200,Noida,Events,Cloud Services,40.6,2026-01-03,Qualified,Not Interested,,SR05,,No
L0021,Rudra Networks,E-commerce,501-1000,Chennai,LinkedIn,Digital Transformation,418.4,2026-01-03,Contacted,Not Interested,,SR08,,No
L0022,Thrive Enterprises,E-commerce,51-200,Bengaluru,LinkedIn,Software Development,14.2,2026-01-03,New,Follow-up Required,2026-10-03,SR04,,No
L0023,Madhav Networks,Logistics,1000+,Hyderabad,Events,Software Development,,2026-01-03,Contacted,Waiting for Response,2026-09-11,SR08,,No
L0024,Nimbus Ventures,Manufacturing,51-200,Chennai,Cold Calling,Digital Transformation,31.3,2026-01-04,Contacted,Contacted,2026-09-20,SR07,,No
L0025,Wavelet Platforms,SaaS,1-50,Mumbai,LinkedIn,Software Development,10.5,2026-01-04,Won,Closed,,SR09,325000.0,Yes
L0026,Falcon Networks,E-commerce,201-500,Bengaluru,Email Campaign,Cloud Services,97.9,2026-01-04,Qualified,Follow-up Required,2026-09-03,SR07,,No
L0027,Jolt Systems,FinTech,51-200,Mumbai,Website,Cloud Services,44.0,2026-01-04,Contacted,Follow-up Required,2026-10-06,SR09,,No
L0028,Wavelet Health,Healthcare,201-500,Pune,Cold Calling,Cybersecurity,138.9,2026-01-04,Contacted,Not Interested,,SR09,,No
L0029,Vertex Softech,RETAIL,501-1000,Bengaluru,Website,Digital Transformation,576.3,2026-01-04,Meeting,Not Interested,,SR08,,No
L0030,Vivid Systems,Healthcare,1-50,Bengaluru,Cold Calling,Software Development,4.5,2026-01-05,Qualified,Follow-up Required,2026-09-29,SR04,,No
L0031,Zenith Networks,FinTech,501-1000,Mumbai,Website,Cloud Services,442.5,2026-01-05,Qualified,Follow-up Required,2026-09-24,SR09,,No
L0032,Cedar Labs,FinTech,1000+,Hyderabad,LinkedIn,Software Development,1160.6,2026-01-05,Qualified,Waiting for Response,2026-09-17,SR04,,No
L0033,Himalaya Online,E-commerce,1-50,Chennai,Cold Calling,DevOps,12.2,2026-01-06,Meeting,Follow-up Required,2026-09-24,SR08,,No
L0034,Glide Enterprises,Logistics,1-50,Bengaluru,LinkedIn,Cloud Services,2.5,2026-01-06,Contacted,Follow-up Required,2026-09-29,SR04,,No
L0035,Onyx Networks,Retail,1000+,Pune,Email Campaign,Cloud Services,1964.6,2026-01-06,New,Follow-up Required,2026-09-22,SR06,,No
L0036,Sagar Ventures,Logistics,501-1000,Bengaluru,linkedin,Software Development,549.6,2026-01-06,Meeting,Waiting for Response,2026-09-19,SR07,,No
L0037,Tundra Pvt Ltd,E-commerce,201-500,Mumbai,Email Campaign,Software Development,181.0,2026-01-06,Proposal,Waiting for Response,2026-10-10,SR02,1355000.0,No
L0038,Summit Solutions,E-commerce,201-500,Delhi,LinkedIn,DevOps,132.3,2026-01-06,New,Follow-up Required,2026-09-24,SR03,,No
L0039,Pinnacle Software,SaaS,1-50,Gurgaon,Google Search,DevOps,5.1,2026-01-06,Contacted,Contacted,2026-09-19,SR01,,No
L0040,Novus Softech,E-commerce,1-50,Bengaluru,Email Campaign,Software Development,7.5,2026-01-06,New,Follow-up Required,2026-09-19,SR08,,No
L0041,Helix Enterprises,SaaS,201-500,Pune,Email Campaign,Cybersecurity,46.5,2026-01-06,Qualified,Waiting for Response,2026-09-18,SR06,,No
L0042,Jade Systems,Manufacturing,51-200,Pune,Cold Calling,Software Development,,2026-01-06,New,Follow-up Required,2026-10-09,SR02,,No
L0043,Kinetic Engineering,Manufacturing,201-500,Mumbai,LinkedIn,Digital Transformation,132.2,2026-01-07,New,Follow-up Required,2026-09-25,SR09,,No
L0044,Drift Mart,RETAIL,201-500,Mumbai,Referral,Cloud Services,161.8,2026-01-07,Won,Closed,,SR02,1295000.0,Yes
L0045,Willow Group,Retail,51-200,Pune,Google Search,Cloud Services,26.0,2026-01-07,Qualified,Meeting Scheduled,2026-09-28,SR02,,No
L0046,Apex Ventures,Logistics,201-500,Hyderabad,Website,Software Development,109.5,2026-01-07,Proposal,Waiting for Response,2026-08-30,SR04,1360000.0,No
L0047,Kestrel Pvt Ltd,Retail,51-200,Mumbai,Cold Calling,Software Development,15.1,2026-01-07,New,Follow-up Required,2026-09-13,SR06,,No
L0048,Hive Solutions,Education,1-50,Bengaluru,Google Search,Cybersecurity,11.2,2026-01-07,New,Follow-up Required,2026-09-23,SR04,,No
L0049,Helix Mart,Retail,201-500,Mumbai,LinkedIn,Cybersecurity,68.9,2026-01-07,Meeting,Meeting Scheduled,2026-09-19,SR02,,No
L0050,Zenith Knowledge,Education,51-200,Mumbai,Events,Cloud Services,33.9,2026-01-07,Qualified,Follow-up Required,2026-09-26,SR09,,No
L0051,Novus Global,SaaS,51-200,Bengaluru,Cold Calling,DevOps,,2026-01-07,Contacted,Contacted,2026-10-04,SR08,,No
L0052,Ishaan Labs,Retail,201-500,Mumbai,Events,Digital Transformation,192.2,2026-01-07,New,Follow-up Required,2026-09-30,SR02,,No
L0053,Spark Labs,Healthcare,201-500,Chennai,Email Campaign,Cloud Services,70.2,2026-01-08,Contacted,Not Interested,,SR07,,No
L0054,Zephyr Technologies,Manufacturing,1-50,Hyderabad,Events,Digital Transformation,9.8,2026-01-08,Qualified,Follow-up Required,2026-09-13,SR08,,No
L0055,Onyx Enterprises,SaaS,1-50,Pune,Cold Calling,DevOps,14.1,2026-01-08,Meeting,Meeting Scheduled,2026-09-26,SR06,,No
L0056,Indus Networks,Manufacturing,1000+,Mumbai,LinkedIn,Cloud Services,553.1,2026-01-08,Qualified,Not Interested,,SR06,,No
L0057,Himalaya Networks,E-commerce,1000+,Pune,Website,Software Development,1862.7,2026-01-08,Won,Closed,,SR09,1945000.0,Yes
L0058,Quartz Solutions,Logistics,201-500,Bengaluru,Cold Calling,Digital Transformation,163.4,2026-01-08,Qualified,Follow-up Required,2026-09-01,SR04,,No
L0059,Madhav Labs,Education,1-50,Chennai ,Events,Software Development,9.6,2026-01-08,Qualified,Follow-up Required,2026-09-19,SR04,,No
L0060,Falcon Industries,SaaS,51-200,,LinkedIn,Cybersecurity,45.2,2026-01-08,Qualified,Waiting for Response,2026-10-08,SR03,,No
L0061,Cedar Pvt Ltd,SaaS,1-50,Pune,Referral,DevOps,10.1,2026-01-08,Qualified,Not Interested,,SR02,,No
L0062,Titan Networks,FinTech,1-50,Hyderabad,Email Campaign,Digital Transformation,4.0,2026-01-09,Proposal,Follow-up Required,04/10/2026,SR04,245000.0,No
L0063,Oasis Technologies,Healthcare,1-50,Pune,LinkedIn,Digital Transformation,5.9,2026-01-09,Qualified,Follow-up Required,2026-10-06,SR09,,No
L0064,Meridian Stores,Retail ,1-50,Pune,Google Search,DevOps,2.6,2026-01-09,New,Follow-up Required,2026-08-31,SR09,,No
L0065,Flux Ventures,Manufacturing,201-500,Mumbai,Cold Calling,Digital Transformation,93.3,2026-01-09,New,Follow-up Required,2026-09-26,SR09,,No
L0066,Indus Pvt Ltd,Manufacturing,1-50,Mumbai,Email Campaign,Cloud Services,11.5,2026-01-09,Meeting,Waiting for Response,2026-09-22,SR02,,No
L0067,Kestrel Health,Healthcare,201-500,Mumbai,Referral,Cybersecurity,54.7,2026-01-09,Won,Closed,,SR02,1295000.0,Yes
L0068,Nexora Academy Systems,Education,51-200,Mumbai,Google Search,Software Development,38.6,2026-01-09,New,Follow-up Required,2026-10-05,SR09,,No
L0069,Flux Pvt Ltd,FinTech,201-500,Delhi,Cold Calling,Cybersecurity,164.8,2026-01-09,Contacted,Follow-up Required,2026-09-09,SR05,,No
L0070,Echo Softech,Manufacturing,1-50,Jaipur,Cold Calling,Digital Transformation,2.3,2026-01-10,Proposal,Follow-up Required,2026-09-24,SR03,275000.0,No
L0071,Ion EdTech,Education,51-200,Mumbai,Events,Software Development,48.9,2026-01-10,New,Follow-up Required,2026-10-10,SR09,,No
L0072,Gravity Labs,Manufacturing,51-200,Mumbai,Events,Digital Transformation,43.6,2026-01-10,Contacted,Waiting for Response,2026-09-27,SR09,,No
L0073,Kinetic Technologies,E-commerce,501-1000,Chennai,Website,Digital Transformation,444.0,2026-01-10,Meeting,Meeting Scheduled,2026-09-30,SR04,,No
L0074,Banyan Health,Healthcare,201-500,,Cold Calling,Software Development,192.0,2026-01-10,New,Follow-up Required,2026-09-19,SR05,,No
L0075,Onyx Solutions,Manufacturing,1-50,Gurgaon,LinkedIn,Digital Transformation,4.7,2026-01-11,Contacted,Not Interested,,SR01,,No
L0076,Xenon Networks,Logistics,1-50,Delhi,Cold Calling,DevOps,12.4,2026-01-11,New,Follow-up Required,2026-10-04,SR05,,No
L0077,Bluepeak Softech,Retail,501-1000,Hyderabad,Cold Calling,Digital Transformation,560.2,2026-01-12,New,Follow-up Required,2026-09-23,SR08,,No
