Activity_ID,Lead_ID,Activity_Type,Activity_Date,Outcome
A00001,L0008,Website Visit,2026-01-03,Pricing Page
A00002,L0010,Meeting,2026-01-05,Completed
A00003,L0025,Email,2026-01-05,Opened
A00004,L0012,Website Visit,2026-01-07,Blog
A00005,L0037,Email,2026-01-07,Opened
A00006,L0008,Meeting,2026-01-08,Completed
A00007,L0010,Call,2026-01-08,No Answer
A00008,L0029,Call,2026-01-08,Voicemail
A00009,L0031,Call,2026-01-08,Connected
A00010,L0044,Email,2026-01-08,Replied
A00011,L0020,Website Visit,2026-01-09,Services Page
A00012,L0025,Website Visit,2026-01-09,Case Study
A00013,L0005,Call,2026-01-10,No Answer
A00014,L0006,Website Visit,2026-01-10,Services Page
A00015,L0059,Email,2026-01-10,Bounced
A00016,L0060,Call,2026-01-10,Connected
A00017,L0066,Website Visit,2026-01-10,Pricing Page
A00018,L0012,Call,2026-01-11,No Answer
A00019,L0017,Call,2026-01-11,Callback Requested
A00020,L0033,Website Visit,2026-01-11,Pricing Page
A00021,L0015,Call,2026-01-12,Callback Requested
A00022,L0030,Website Visit,2026-01-12,Case Study
A00023,L0031,Email,2026-01-12,Replied
A00024,L0066,Meeting,2026-01-12,Completed
A00025,L0072,Call,2026-01-12,Connected
A00026,L0078,Website Visit,2026-01-12,Contact Page
A00027,L0008,Call,2026-01-13,Voicemail
A00028,L0019,Email,2026-01-13,Opened
A00029,L0039,Website Visit,2026-01-13,Blog
A00030,L0082,Website Visit,2026-01-13,Blog
A00031,L0015,Website Visit,2026-01-14,Services Page
A00032,L0016,Call,2026-01-14,No Answer
A00033,L0041,Call,2026-01-14,Callback Requested
A00034,L0061,Email,2026-01-14,Opened
A00035,L0079,Email,2026-01-14,Replied
A00036,L0023,Call,2026-01-15,Connected
A00037,L0029,Email,2026-01-15,Replied
A00038,L0032,Call,2026-01-15,No Answer
A00039,L0044,Email,2026-01-15,No Response
A00040,L0050,Call,2026-01-15,Connected
A00041,L0050,Email,2026-01-15,Opened
A00042,L0046,Meeting,2026-01-16,Completed
A00043,L0061,Call,2026-01-16,Callback Requested
A00044,L0067,Website Visit,2026-01-16,Case Study
A00045,L0094,Email,2026-01-16,No Response
A00046,L0111,Website Visit,2026-01-16,Blog
A00047,L0008,Call,2026-01-17,Callback Requested
A00048,L0023,Call,2026-01-17,Voicemail
